"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1376","should load login page @smoke","desktop","Tue Mar 17 11:12:08 UTC 2026","passed","Tue Mar 17 11:12:09 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.js","",""
"","1545","should load login page @smoke","mobile","Tue Mar 17 11:07:04 UTC 2026","passed","Tue Mar 17 11:07:05 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.js","",""
"","3268","should be able to navigate to settings while authenticated @regression","mobile","Tue Mar 17 11:06:33 UTC 2026","passed","Tue Mar 17 11:06:37 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.js","",""
"","3012","should be able to navigate to settings while authenticated @regression","desktop","Tue Mar 17 11:11:38 UTC 2026","passed","Tue Mar 17 11:11:41 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.js","",""
"","2700","should access dashboard with dynamically created session @smoke","desktop","Tue Mar 17 11:11:35 UTC 2026","passed","Tue Mar 17 11:11:38 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.js","",""
"","2837","should access dashboard with dynamically created session @smoke","mobile","Tue Mar 17 11:06:30 UTC 2026","passed","Tue Mar 17 11:06:33 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.js","",""
"","309","should return 401 for login with invalid password @regression undefined","mobile","Tue Mar 17 11:06:24 UTC 2026","passed","Tue Mar 17 11:06:25 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","190","should return 401 for login with invalid password @regression undefined","desktop","Tue Mar 17 11:11:30 UTC 2026","passed","Tue Mar 17 11:11:30 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","2450","should show error on invalid login @regression @login","mobile","Tue Mar 17 11:07:05 UTC 2026","passed","Tue Mar 17 11:07:08 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.js","",""
"","355","should fetch articles from global feed @regression @api","mobile","Tue Mar 17 11:06:23 UTC 2026","passed","Tue Mar 17 11:06:24 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","7922","should create a new article using existing session @regression @article","desktop","Tue Mar 17 11:11:58 UTC 2026","failed","Tue Mar 17 11:12:06 UTC 2026","Conduit: Authenticated Session @conduit undefined","e2e/auth/conduit-session.spec.js","",""
"","4533","should register, login and create an article @smoke @article","desktop","Tue Mar 17 11:11:31 UTC 2026","passed","Tue Mar 17 11:11:35 UTC 2026","Conduit: Authenticated Flow @conduit @article undefined","e2e/articles/conduit-article.spec.js","",""
"","210","should fetch articles from global feed @regression @api","desktop","Tue Mar 17 11:11:30 UTC 2026","passed","Tue Mar 17 11:11:30 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","285","should return 404 for non-existent endpoint @regression @api","mobile","Tue Mar 17 11:06:24 UTC 2026","passed","Tue Mar 17 11:06:24 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","3608","should verify feed tabs are visible on dashboard @smoke","mobile","Tue Mar 17 11:07:10 UTC 2026","passed","Tue Mar 17 11:07:14 UTC 2026","Dashboard Tests (Authenticated) @conduit @dashboard @auth","e2e/dashboard/dashboard.spec.js","",""
"","2280","should register a new user @regression","desktop","Tue Mar 17 11:12:11 UTC 2026","passed","Tue Mar 17 11:12:14 UTC 2026","Conduit: Account Setup @conduit @signup","e2e/auth/registration.spec.js","",""
"","2441","should register a new user @regression","mobile","Tue Mar 17 11:07:08 UTC 2026","passed","Tue Mar 17 11:07:10 UTC 2026","Conduit: Account Setup @conduit @signup","e2e/auth/registration.spec.js","",""
"","12201","should fetch all tags @smoke","mobile","Tue Mar 17 11:06:09 UTC 2026","passed","Tue Mar 17 11:06:21 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","974","should fetch all tags @smoke","desktop","Tue Mar 17 11:11:28 UTC 2026","passed","Tue Mar 17 11:11:29 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","474","should login successfully with valid credentials @smoke undefined","mobile","Tue Mar 17 11:06:24 UTC 2026","passed","Tue Mar 17 11:06:24 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","2277","should show error on invalid login @regression @login","desktop","Tue Mar 17 11:12:09 UTC 2026","passed","Tue Mar 17 11:12:11 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.js","",""
